epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_N_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_N_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_N_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_N_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
       380, 59633.920,    0.001,       0.00010276,       1.4565e-06,       0.00010422,        0.167,        0.263,        0.105,         0.23,        0.278,        0.241,        0.213,        0.149,         0.33,        0.403,        0.375,        0.314,        0.498,       0.0226,       0.00029109,       1.1354e-07,        0.0002912,        0.254,        0.443,        0.141,        0.392,        0.443,        0.327,        0.326,        0.219,        0.621,        0.683,        0.497,        0.505,        0.135,      0.00612
       381, 59783.208,    0.001,       8.0029e-05,        1.053e-06,       8.1081e-05,        0.152,        0.232,       0.0968,        0.212,        0.248,        0.213,        0.192,        0.133,        0.304,         0.35,        0.296,        0.271,        0.448,       0.0203,       0.00028154,       1.0462e-07,       0.00028165,        0.247,        0.436,        0.138,         0.38,        0.437,        0.314,        0.317,        0.215,        0.613,        0.672,         0.48,        0.495,        0.138,      0.00628
       382, 59931.731,    0.001,       7.7455e-05,       1.1827e-06,       7.8638e-05,        0.154,        0.229,       0.0963,        0.212,        0.255,        0.222,        0.196,        0.128,        0.293,        0.351,         0.31,         0.27,        0.475,       0.0216,       0.00027299,       8.8873e-08,       0.00027308,        0.244,        0.429,        0.137,        0.374,        0.427,        0.312,        0.312,        0.211,        0.602,         0.67,        0.472,        0.489,        0.119,      0.00542
       383, 60080.153,    0.001,        8.639e-05,       1.5837e-06,       8.7974e-05,        0.161,        0.241,       0.0988,        0.223,         0.27,        0.234,        0.207,        0.132,         0.31,        0.374,        0.328,        0.286,         0.54,       0.0246,       0.00028321,       9.3205e-08,        0.0002833,        0.246,        0.437,        0.137,        0.376,        0.436,        0.318,        0.317,        0.212,         0.61,        0.684,        0.497,        0.501,        0.118,      0.00534
       384, 60228.664,    0.001,       7.7612e-05,       1.5605e-06,       7.9173e-05,        0.156,        0.229,        0.097,        0.216,        0.263,         0.22,        0.199,        0.129,        0.293,        0.355,        0.303,         0.27,        0.522,       0.0237,       0.00028945,       1.1807e-07,       0.00028957,         0.25,        0.442,        0.139,        0.384,        0.442,        0.317,         0.32,        0.216,        0.618,         0.68,        0.509,        0.506,        0.144,      0.00654
       385, 60377.174,    0.001,       9.5098e-05,       1.3018e-06,         9.64e-05,        0.158,        0.253,        0.097,        0.222,        0.264,         0.23,        0.203,        0.136,        0.329,        0.382,        0.351,        0.299,        0.473,       0.0215,       0.00027858,       8.3081e-08,       0.00027867,        0.244,        0.433,        0.136,        0.376,        0.426,        0.308,        0.312,        0.212,        0.609,        0.673,        0.482,        0.494,        0.113,      0.00512
       386, 60525.698,    0.001,        0.0001042,       1.9321e-06,       0.00010613,        0.165,        0.265,        0.101,        0.235,        0.273,        0.236,        0.211,        0.143,        0.351,        0.395,        0.354,        0.311,         0.56,       0.0255,       0.00027389,       9.8055e-08,       0.00027399,        0.243,         0.43,        0.136,        0.375,        0.427,        0.309,        0.312,        0.213,        0.603,        0.663,        0.479,        0.489,         0.12,      0.00546
       387, 60674.509,    0.001,       8.0271e-05,       1.1387e-06,        8.141e-05,        0.152,        0.233,       0.0945,        0.212,        0.252,        0.217,        0.194,        0.129,        0.302,        0.353,         0.31,        0.274,        0.443,       0.0201,       0.00027121,       8.2524e-08,       0.00027129,        0.243,        0.428,        0.136,        0.375,        0.425,        0.312,        0.312,        0.212,        0.602,        0.658,        0.472,        0.486,        0.112,       0.0051
       388, 60822.639,    0.001,       9.0688e-05,       2.0346e-06,       9.2723e-05,         0.16,        0.247,       0.0962,        0.225,        0.274,        0.231,        0.207,        0.132,        0.321,        0.384,        0.334,        0.293,        0.545,       0.0248,       0.00027352,         8.48e-08,        0.0002736,        0.245,        0.429,        0.137,        0.378,         0.43,        0.309,        0.313,        0.212,        0.609,        0.652,        0.471,        0.486,        0.111,      0.00506
       389, 60973.846,    0.001,       9.8677e-05,         2.69e-06,       0.00010137,        0.162,        0.258,       0.0989,        0.224,        0.272,        0.242,        0.209,        0.136,        0.328,        0.398,        0.373,        0.309,         0.59,       0.0268,        0.0002773,       9.2574e-08,       0.00027739,        0.244,        0.432,        0.136,        0.376,        0.426,        0.312,        0.313,        0.212,        0.609,         0.66,        0.488,        0.492,        0.117,      0.00532
       390, 61122.940,    0.001,       8.2196e-05,       1.1484e-06,       8.3345e-05,        0.157,        0.235,       0.0972,        0.219,        0.261,         0.22,        0.199,        0.134,        0.308,        0.357,        0.298,        0.274,        0.464,       0.0211,       0.00027852,        1.195e-07,       0.00027864,        0.246,        0.433,        0.138,        0.378,        0.433,        0.308,        0.315,        0.214,        0.609,        0.671,        0.479,        0.493,        0.154,      0.00699
       391, 61271.873,    0.001,       0.00010964,       1.4989e-06,       0.00011114,        0.163,        0.272,          0.1,        0.229,         0.27,        0.233,        0.208,        0.143,        0.354,        0.426,        0.365,        0.322,        0.478,       0.0217,       0.00027723,       1.0644e-07,       0.00027734,        0.246,        0.432,        0.138,         0.38,        0.431,        0.311,        0.315,        0.214,        0.608,        0.669,        0.475,        0.491,        0.133,      0.00603
       392, 61421.055,    0.001,       7.4091e-05,       1.1096e-06,       7.5201e-05,        0.149,        0.223,       0.0928,        0.207,        0.245,        0.216,         0.19,        0.131,        0.286,        0.337,        0.296,        0.262,        0.457,       0.0208,       0.00028687,       1.0542e-07,       0.00028698,        0.245,         0.44,        0.136,        0.378,        0.434,        0.314,        0.316,        0.214,        0.614,        0.687,          0.5,        0.504,        0.132,        0.006
       393, 61570.507,    0.001,       7.5231e-05,       1.1069e-06,       7.6338e-05,        0.152,        0.225,       0.0942,        0.211,         0.25,        0.224,        0.195,        0.131,        0.288,        0.334,        0.308,        0.265,        0.468,       0.0213,       0.00027089,       7.0191e-08,       0.00027096,        0.242,        0.427,        0.135,        0.371,        0.428,        0.308,         0.31,         0.21,        0.602,        0.661,        0.469,        0.486,        0.104,      0.00471
       394, 61719.813,    0.001,       8.0687e-05,       1.4072e-06,       8.2094e-05,        0.156,        0.233,        0.096,        0.218,         0.26,        0.222,        0.199,        0.133,        0.302,        0.353,        0.309,        0.274,        0.506,        0.023,        0.0002868,        1.117e-07,       0.00028691,        0.246,         0.44,        0.138,        0.377,        0.431,        0.318,        0.316,        0.213,        0.615,        0.682,        0.503,        0.503,        0.132,      0.00601
       395, 61869.460,    0.001,        8.315e-05,       1.2744e-06,       8.4424e-05,        0.157,        0.237,       0.0957,        0.222,        0.262,        0.224,        0.201,        0.131,        0.309,         0.36,        0.311,        0.278,        0.505,        0.023,       0.00027357,        6.876e-08,       0.00027364,        0.241,        0.429,        0.134,        0.371,        0.426,        0.305,        0.309,        0.212,        0.604,        0.673,         0.46,        0.487,       0.0998,      0.00454
       396, 62018.591,    0.001,       8.8632e-05,        1.048e-06,        8.968e-05,        0.158,        0.244,       0.0968,        0.222,        0.263,        0.223,        0.201,        0.135,        0.317,        0.372,        0.328,        0.288,        0.434,       0.0197,        0.0002806,       7.6844e-08,       0.00028068,        0.245,        0.435,        0.136,        0.377,         0.43,        0.313,        0.314,        0.212,        0.614,        0.669,        0.482,        0.494,        0.113,      0.00512
       397, 62168.184,    0.001,       7.6724e-05,       1.3487e-06,       7.8072e-05,        0.152,        0.227,       0.0943,        0.211,        0.254,         0.22,        0.195,        0.128,        0.294,        0.347,        0.301,        0.268,        0.508,       0.0231,       0.00027669,        9.285e-08,       0.00027678,        0.242,        0.432,        0.135,        0.373,        0.428,        0.307,        0.311,        0.211,        0.607,         0.67,        0.482,        0.492,        0.117,      0.00534
